m_tractionControl,m_antiLockBrakes,m_fuelMix,m_frontBrakeBias,m_pitLimiterStatus,m_fuelInTank,m_fuelCapacity,m_fuelRemainingLaps,m_maxRPM,m_idleRPM,m_maxGears,m_drsAllowed,m_drsActivationDistance,m_actualTyreCompound,m_visualTyreCompound,m_tyresAgeLaps,m_vehicleFiaFlags,m_enginePowerICE,m_enginePowerMGUK,m_ersStoreEnergy,m_ersDeployMode,m_ersHarvestedThisLapMGUK,m_ersHarvestedThisLapMGUH,m_ersDeployedThisLap,m_networkPaused
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601357,83475.8125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601158.125,83475.8203125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600959.8125,83475.8203125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600727.8125,83475.8125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,600392,83475.8125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,599041.3125,80905.390625,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,564889.25,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,567139.0625,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,601113.125,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,558305.3125,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,573563.375,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,595267.9375,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,574027.8125,3.9249355792999268,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,533437.4375,1911.594482421875,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,535804.3125,2545.011474609375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,537066.9375,2732.044921875,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,575288.8125,4800.4736328125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,589573.5625,5771.7197265625,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,598780.5,12276.14453125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,0,16,16,11,0,597062.0625,29683.19140625,4000000,2,0,0,0,0
